0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Elastic_modulus,energy_efficiency,num_reinforced
1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1.426614236,0.341422264,6
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1.387150605,0.370619975,5
1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1.401674019,0.381275751,5
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.322398756,0.402424831,4
1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1.357083446,0.363285018,5
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1.31347705,0.433023726,4
1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.349063176,0.390872714,5
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.283877172,0.524941766,2
1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.422457008,0.36643374,5
1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1.453932276,0.342447467,6
0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1.439823429,0.334615212,6
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.348817081,0.427111473,3
1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1.412801103,0.352387663,5
1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.382070757,0.347945577,5
1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1.465204875,0.35142054,6
1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1.437063156,0.349817464,6
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.325370669,0.449626973,3
1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1.391079654,0.349462884,6
0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1.376598252,0.34547198,6
1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.391322234,0.366860152,5
0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1.418623587,0.363953275,5
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.364886369,0.402451828,4
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1.430351045,0.328945339,6
0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1.402398827,0.391140442,4
0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1.432746024,0.350004775,6
0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1.372373342,0.430070731,4
1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1.45105402,0.332619779,6
1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1.419110314,0.337098197,5
1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1.444385509,0.346864429,6
1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1.440511229,0.311029326,6
